X,Y,Z,MaximumInscribedSphereRadius
28.694934845,13.3811578751,58.1937103271,1.91960105628
28.7122268677,13.4642000198,58.1406478882,1.92518850239
28.7295570374,13.543888092,58.0825538635,1.93162633579
28.7496814728,13.6256074905,58.0284233093,1.93855013715
28.7702655792,13.7040243149,57.969581604,1.94553432291
28.7967586517,13.7844400406,57.91664505,1.95005251906
28.8287677765,13.866771698,57.8692550659,1.95308904275
28.8610210419,13.9461202621,57.8174819946,1.95787201694
28.8921203613,14.0231723785,57.7614860535,1.9653731949
28.9236354828,14.0976839066,57.7023391724,1.9733855172
28.9579257965,14.1683645248,57.6403160095,1.98139783951
28.9905014038,14.2381315231,57.5765838623,1.9867593918
29.0177459717,14.311879158,57.5143890381,1.99157811216
29.0526504517,14.3827190399,57.452835083,1.99925698281
29.0905151367,14.448638916,57.3876571655,2.00701589798
29.1282119751,14.5145845413,57.322593689,2.01454848502
29.166639328,14.5843458176,57.2619247437,2.02134268393
29.1997051239,14.6486940384,57.1928825378,2.03082405341
29.2342338562,14.713136673,57.1244659424,2.0407070625
29.2625331879,14.7761306763,57.0525588989,2.05258688739
29.2843856812,14.8358650208,56.9747047424,2.06461954627
29.3181552887,14.8980760574,56.9041061401,2.07651794543
29.3569393158,14.9581546783,56.834148407,2.08727431918
29.400177002,15.0166721344,56.7653121948,2.09831066658
29.4398937225,15.0758752823,56.695186615,2.10926290643
29.4840736389,15.1360750198,56.6284790039,2.11682820695
29.5279998779,15.1909637451,56.5572509766,2.1236032109
29.5730247498,15.2475996017,56.488117218,2.13031794282
29.6192359924,15.2995986938,56.4160728455,2.13701764793
29.6668376923,15.3561182022,56.3486442566,2.1427339512
29.7187900543,15.4046926498,56.2783050537,2.14118240374
29.7694149017,15.4585866928,56.2111129761,2.13937058762
29.8241958618,15.5160169601,56.1497535706,2.13755877149
29.8806686401,15.5713672638,56.0880851746,2.13597959265
29.9347915649,15.6264505386,56.0243873596,2.1373365785
29.983499527,15.6796350479,55.9550857544,2.13832369429
30.0341720581,15.7266674042,55.8827095032,2.13890431282
30.0865325928,15.7716608047,55.810295105,2.1387770432
30.1455230713,15.8215036392,55.7466163635,2.13738501759
30.2093544006,15.8698120117,55.6860733032,2.13599299197
30.2798976898,15.9101161957,55.6280860901,2.13152036707
30.3598175049,15.9482746124,55.5800361633,2.12785876442
30.4381523132,15.9823551178,55.5274276733,2.12489682583
30.5106925964,16.0145397186,55.466835022,2.12121604152
30.5853271484,16.0461273193,55.4113883972,2.11453342362
30.6523113251,16.0669498444,55.3411140442,2.10477189873
30.7374248505,16.0961761475,55.2794532776,2.0979504604
30.8304748535,16.1285457611,55.2257881165,2.09438456134
30.8796920776,16.1302070618,55.1493873596,2.09081866227
30.9388561249,16.1375827789,55.0709609985,2.08447270821
31.0156936646,16.1516838074,55.0053634644,2.07809746217
31.0890655518,16.1580677032,54.9371681213,2.07230687056
31.1573162079,16.1599330902,54.8640174866,2.0664630065
31.2223014832,16.1631031036,54.7879333496,2.06118642885
31.2872943878,16.1578998566,54.7121238708,2.05207725441
31.3547973633,16.1445770264,54.6393699646,2.04198031319
31.426568985,16.131319046,54.570602417,2.03188337197
31.4993362427,16.1234951019,54.5023422241,2.02291396772
31.5688648224,16.1097717285,54.4316215515,2.01513657391
31.6418151855,16.0977802277,54.3641471863,2.00906818679
31.7147579193,16.083322525,54.2971382141,2.00806898224
31.7884578705,16.065448761,54.2318077087,2.00749483553
31.8627872467,16.0499839783,54.1666259766,2.00798020438
31.938627243,16.0378303528,54.1025314331,2.00973055842
32.0186233521,16.02186203,54.0444297791,2.01265280397
32.0965118408,16.0093326569,53.9829483032,2.01570371344
32.170841217,15.9954471588,53.9176521301,2.01930625278
32.25340271,15.9786396027,53.8633384705,2.02318347385
32.3371353149,15.9646444321,53.8100891113,2.02648784077
32.4172515869,15.9487552643,53.752155304,2.02788931373
32.5012779236,15.9359960556,53.6994628906,2.03139531243
32.587097168,15.9240636826,53.6493148804,2.03588709878
32.6679496765,15.9067516327,53.5929069519,2.04066462689
32.7483558655,15.8915176392,53.5352706909,2.04544777734
32.8322105408,15.8805589676,53.4818115234,2.05075380583
32.9164810181,15.866361618,53.4296913147,2.05644484607
33.0003204346,15.8519086838,53.376789093,2.06005526023
33.0830154419,15.835354805,53.3229026794,2.06140192058
33.1643867493,15.8125295639,53.269317627,2.06261373148
33.2449035645,15.7913141251,53.2138824463,2.06232261333
33.3220291138,15.7650642395,53.1556510925,2.06156446679
33.3983688354,15.7405939102,53.0956726074,2.06025334221
33.4747886658,15.7163228989,53.0357589722,2.05988331993
33.5513305664,15.6889228821,52.9773330688,2.05969305014
33.6277618408,15.6618080139,52.9187469482,2.06021622193
33.7047195435,15.6401071548,52.8584594727,2.06068985391
33.7837562561,15.6152887344,52.8022918701,2.06438537561
33.8601646423,15.588265419,52.7436218262,2.06815376145
33.935749054,15.5656061172,52.681930542,2.07157673723
34.013343811,15.5380868912,52.6251525879,2.07478242312
34.0946388245,15.5128765106,52.572479248,2.07773665873
34.1737937927,15.4851455688,52.5179519653,2.07983050969
34.2531547546,15.4527444839,52.4662818909,2.08111931342
34.332950592,15.4200878143,52.4154930115,2.08103768952
34.4139099121,15.3860397339,52.3674507141,2.08125465512
34.4962844849,15.3558139801,52.3193435669,2.08226005725
34.5779457092,15.3258285522,52.2697601318,2.0828397227
34.6591796875,15.291674614,52.2221412659,2.08341938814
34.7416381836,15.2559375763,52.1780738831,2.08401257743
34.8244819641,15.225736618,52.1305923462,2.08402760988
34.9057388306,15.1985054016,52.0789108276,2.08207044529
34.9862556458,15.1707038879,52.0263900757,2.07585224682
35.0647964478,15.1400651932,51.9725151062,2.06728466244
35.1436233521,15.1157360077,51.9157829285,2.05944551899
35.2265090942,15.0884246826,51.8668479919,2.05162947249
35.3120231628,15.0643205643,51.8207321167,2.04502860422
35.3998908997,15.042429924,51.7780761719,2.03830070222
35.4873352051,15.0149812698,51.7377510071,2.0317067732
35.5758743286,14.9922504425,51.6968383789,2.02525423208
35.666179657,14.9746017456,51.6573638916,2.01967262705
35.7572174072,14.95429039,51.6212272644,2.01427507653
35.848526001,14.9325008392,51.5865364075,2.00995104086
35.9407043457,14.9148626328,51.5517082214,2.00671997232
36.0333900452,14.8979253769,51.5178337097,2.0032281793
36.1250648499,14.8790187836,51.4824562073,1.99959213939
